Type, StartTime, EndTime, Duration, Duration Formatted, Min Power (% FTP), Min Power (W), Min Power (W/Kg), Max Power  (% FTP), Min Power (W), Min Power (W/Kg), Cadence, Work
Steady state,0,180,180,3 mins,47,125,1.8,53,140,2.0,,False
Steady state,180,360,180,3 mins,57,151,2.1,63,167,2.4,,False
Steady state,360,540,180,3 mins,62,164,2.3,68,180,2.5,,False
Steady state,540,720,180,3 mins,71,188,2.7,77,204,2.9,,False
Steady state,720,900,180,3 mins,77,204,2.9,83,220,3.1,,False
Steady state,900,1080,180,3 mins,85,226,3.2,91,242,3.4,,False
Steady state,1080,1200,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,1200,1380,180,3 mins,85,226,3.2,91,242,3.4,,False
Steady state,1380,1500,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,1500,1680,180,3 mins,85,226,3.2,91,242,3.4,,False
Steady state,1680,1800,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,1800,1980,180,3 mins,85,226,3.2,91,242,3.4,,False
Steady state,1980,2100,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,2100,2580,480,8 mins,52,138,1.9,58,154,2.2,,False
Steady state,2580,2760,180,3 mins,89,236,3.3,95,252,3.6,,False
Steady state,2760,2880,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,2880,3060,180,3 mins,89,236,3.3,95,252,3.6,,False
Steady state,3060,3180,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,3180,3360,180,3 mins,89,236,3.3,95,252,3.6,,False
Steady state,3360,3480,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,3480,3660,180,3 mins,89,236,3.3,95,252,3.6,,False
Steady state,3660,3780,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,3780,4260,480,8 mins,52,138,1.9,58,154,2.2,,False
Steady state,4260,4440,180,3 mins,92,244,3.4,98,260,3.7,,False
Steady state,4440,4560,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,4560,4740,180,3 mins,92,244,3.4,98,260,3.7,,False
Steady state,4740,4860,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,4860,5040,180,3 mins,92,244,3.4,98,260,3.7,,False
Steady state,5040,5160,120,2 mins,52,138,1.9,58,154,2.2,,False
Steady state,5160,5340,180,3 mins,92,244,3.4,98,260,3.7,,False
Steady state,5340,5460,120,2 mins,52,138,1.9,58,154,2.2,,False
Cool down,5460,5760,300,5 mins,50,133,1.9,50,133,1.9,,False
