description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"We're building endurance today! Warmup followed by 3 sets of fast pedals (as fast as you can pedal without bouncing in the saddle) to open up the legs, followed by a long endurance ride. Focus on staying relaxed on the bike and vary your cadence.",1,900,25,75,%,,,,,,
,1,360,50,50,%,,,,,,
,1,9000,73,73,%,,,,,,
,1,900,75,25,%,,,,,,
