description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: C.OHearn Z50,1,900,50,75,%,,,,,,
,2,60,90,90,%,,90,60,60,%,
,8,30,140,140,%,,30,50,50,%,
,1,600,50,50,%,,,,,,
,6,60,115,115,%,,60,50,50,%,
,1,300,50,50,%,,,,,,
,1,300,95,95,%,,,,,,
,1,240,55,55,%,,,,,,
,1,240,95,95,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,95,95,%,,,,,,
,1,300,65,45,%,,,,,,
